"age","identifies_as_man","identifies_as_woman","identifies_as_hispanic_or_latinx","identifies_as_black","identifies_as_white","highest_education_level","length_in_this_facility","state","party","how_often_discuss_politics","how_get_news","ever_voted","direction_country_headed","how_often_officials_acting_in_your_interest","which_party_for_cj_reform","stance_on_assault_weapons_ban","stance_on_marijuana_legalization","stance_on_tightening_border_security","stance_on_raise_min_wage","race_affects_politics","should_incarcerated_vote","incarceration_impacts_motivation_to_vote","politics_changed_since_incarcerated","cj_important_issue_eliminating_mandatory_mins","cj_important_issue_reducing_racial_bias","cj_important_issue_abolishing_death_penalty","cj_important_issue_lowering_incarceration_rates_rural_communities","cj_important_issue_improving_prison_conds","cj_important_issue_restoring_voting_rights","cj_important_issue_reducing_prison_pop","cj_important_issue_ending_war_on_drugs","cj_important_issue_ending_private_prisons","cj_important_issue_lowering_sentences_violent_crimes","cj_important_issue_raising_wages_incarcerated_workers","who_vote_for","approve_disapprove_trump"
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local TV news","Yes","No opinion","Sometimes","Democrats","Undecided","Strongly support","Undecided","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never","Local TV news","No","No opinion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local TV news","Yes","Wrong track","Rarely","Don't know / No opinion","Support","Undecided","Support","Strongly support",NA,"Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Word of mouth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Frequently","Local TV news","Yes","Wrong track","Sometimes","Democrats","Strongly oppose","Support","Oppose","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Local radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Frequently","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never","National public radio","No","Wrong track","Always","Neither is committed","Strongly oppose","Strongly oppose","Oppose","Support","Not sure","Don't know / No opinion","Slightly increased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local radio","No","In between","Sometimes","Don't know / No opinion","Undecided","Strongly support","Strongly oppose","Strongly support","Somewhat","No",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never","Local TV news","No","No opinion","Don't know / No opinion","Democrats","Strongly oppose","Strongly support","Undecided","Strongly support","Somewhat","Yes","Increased my motivation to vote",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Frequently","Local TV news","No","Wrong track","Never","Neither is committed","Support","Undecided","Support","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local TV news","Yes","In between","Sometimes","Don't know / No opinion","Strongly oppose","Strongly support","Strongly support","Strongly support","Not sure","Yes","Slightly decreased my motivation to vote","No","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never","Local TV news","No","No opinion","Don't know / No opinion","Don't know / No opinion","Undecided","Undecided","Undecided","Support","Not sure","No",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Very Frequently","National public radio","Yes","Right direction","Never","Republicans","Oppose","Oppose","Strongly support","Strongly support",NA,"Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Frequently","Local TV news","No","In between","Sometimes","They're equally committed","Oppose","Strongly support",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Frequently","National public radio","No","Wrong track","Sometimes","Republicans","Support","Oppose","Oppose","Strongly support","A great deal","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
